Timestamp,Designing for data generation and capture,Data generation and capture,"Data storage, access and manipulation",Big data modelling and analysis,Visualising big data models and analysis,Making data-driven insights,Data-driven decision making under uncertainty,Monitoring and evaluation
04/04/2016 19:55:43,3,3,2,4,4,5,4,4
04/04/2016 20:02:12,1,1,1,1,1,1,1,1
04/04/2016 20:03:33,1,1,1,1,1,1,1,1
04/04/2016 20:14:08,1,1,1,1,1,1,1,1
04/04/2016 20:16:12,1,2,4,2,2,1,2,2
04/04/2016 20:16:42,1,1,1,1,1,1,1,2
04/04/2016 20:26:02,2,1,3,2,2,3,3,3
04/04/2016 20:28:43,3,3,2,2,3,2,2,2
04/04/2016 20:34:04,1,1,1,1,1,1,1,1
04/04/2016 20:42:23,1,1,2,2,2,2,2,1
04/04/2016 20:45:43,1,1,1,1,1,1,1,1
04/04/2016 20:57:50,3,3,2,3,3,2,2,2
04/04/2016 20:58:33,1,1,1,1,1,1,1,1
04/04/2016 21:01:57,4,4,5,3,4,4,3,3
04/04/2016 21:04:41,3,2,3,1,1,2,3,3
04/04/2016 21:12:20,3,4,2,2,2,4,2,3
04/04/2016 21:14:39,1,1,2,1,2,4,2,1
04/04/2016 21:15:03,2,2,2,2,2,2,2,2
04/04/2016 21:19:33,1,3,3,2,3,3,3,3
04/04/2016 21:22:53,1,1,1,1,1,1,1,1
04/04/2016 21:30:19,2,1,1,1,1,2,2,1
04/04/2016 21:32:03,2,3,3,2,3,4,4,2
04/04/2016 21:37:27,1,1,1,1,1,2,1,1
04/04/2016 21:42:48,1,1,1,1,1,1,1,1
04/04/2016 21:47:04,1,1,1,1,2,1,1,1
04/04/2016 21:47:18,2,2,2,1,2,2,1,1
04/04/2016 21:49:37,1,1,1,1,1,1,3,1
04/04/2016 22:02:45,1,1,1,1,1,2,1,1
04/04/2016 22:07:02,1,1,1,1,1,1,1,1
04/04/2016 22:14:09,2,2,3,3,3,4,3,3
04/04/2016 22:14:27,3,2,2,2,3,3,2,3
